200 32344
1 104 2
104 130 3
130 147 1
147 194 2
194 185 3
185 56 2
56 198 2
198 106 3
106 163 1
163 173 2
173 97 3
97 41 3
41 17 2
17 122 3
122 50 1
50 76 2
76 80 3
80 35 2
35 7 2
7 39 3
39 200 1
51 23 3
167 86 3
159 196 2
84 86 2
47 105 3
114 11 2
192 136 3
175 52 3
91 34 1
145 43 3
161 101 3
138 134 3
23 127 2
30 8 3
3 134 2
95 60 3
82 72 3
193 90 1
184 111 3
105 175 3
47 118 3
173 100 2
21 150 3
154 109 1
127 8 2
158 155 3
182 115 3
69 67 3
127 105 3
199 136 2
182 187 2
35 9 3
88 13 3
105 92 2
115 14 3
40 172 2
10 162 2
51 15 3
148 52 3
159 63 2
52 82 3
97 187 1
84 199 2
64 102 3
195 51 2
172 105 2
39 68 3
162 94 2
193 16 3
90 5 3
66 11 1
81 12 2
86 190 3
172 17 2
3 181 2
193 147 3
193 181 2
181 186 3
118 62 3
1 52 1
83 16 2
147 46 3
164 121 1
104 199 3
155 80 3
145 175 1
146 132 2
154 72 3
129 64 1
155 53 3
86 77 3
171 150 1
148 14 3
83 30 3
126 136 3
140 71 2
146 41 3
37 24 1
20 150 2
62 70 3
16 43 1
196 23 2
131 164 3
34 77 1
177 147 2
13 64 3
128 58 2
63 2 2
121 157 3
110 5 1
50 68 2
143 196 3
118 140 2
56 73 2
155 129 3
69 81 2
56 131 2
167 134 3
141 8 1
68 153 2
123 137 3
151 69 2
3 137 2
31 178 3
27 146 1
69 183 2
1 128 3
181 108 2
184 157 2
107 102 3
121 62 1
123 62 2
61 162 3
70 71 2
128 159 2
26 12 3
110 9 3
109 61 2
116 135 3
2 184 2
80 189 2
81 162 3
123 181 2
92 43 2
70 99 3
125 196 2
125 129 2
199 111 3
176 147 1
162 51 3
25 195 3
95 113 2
137 5 2
173 48 3
1 127 1
58 43 3
191 9 3
113 8 2
166 168 2
83 192 3
150 60 1
117 52 3
77 126 3
183 102 3
173 78 2
126 96 3
159 168 3
71 99 3
79 17 3
61 96 1
43 104 3
193 127 3
64 157 2
106 164 2
85 98 3
114 116 1
166 165 2
156 112 3
90 33 2
177 199 2
154 197 3
152 173 1
192 165 2
192 123 3
79 138 1
18 192 3
113 127 3
131 160 1
142 12 3
114 22 3
119 68 2
149 136 2
124 83 3
131 23 1
102 55 2
154 162 3
40 130 2
58 198 3
101 24 3
150 93 1
183 195 2
93 75 3
127 119 3
162 192 2
54 105 3
80 107 2
104 50 2
190 196 3
175 40 1
144 149 3
194 161 3
174 75 1
42 32 2
132 8 3
130 28 1
29 30 3
73 143 3
114 75 3
170 139 2
123 72 3
35 155 3
168 106 3
90 156 3
102 63 1
122 168 3
138 160 3
146 51 1
143 137 3
95 159 3
142 195 3
199 182 2
196 115 3
89 136 2
12 64 3
48 177 3
113 38 3
146 82 2
10 138 3
64 127 1
39 57 3
151 66 3
67 199 1
164 163 2
13 70 3
31 34 1
145 151 2
160 76 3
76 131 1
116 115 2
66 181 3
177 194 1
8 11 2
59 196 3
82 187 1
30 26 2
122 194 3
73 131 2
93 174 2
27 32 3
31 94 3
154 179 2
185 34 3
2 179 1
187 107 3
115 112 3
142 146 1
35 127 2
134 129 3
160 136 1
41 52 2
100 41 3
39 48 1
131 181 3
122 25 3
1 155 1
74 90 2
65 143 3
54 24 3
14 35 2
45 139 3
114 157 3
184 92 2
44 190 3
59 145 1
65 53 3
129 168 3
163 184 2
142 4 2
163 114 3
11 141 2
99 159 2
190 88 3
169 96 3
136 190 2
39 124 3
18 90 3
62 193 2
132 37 3
124 29 3
167 91 2
150 49 3
195 148 1
188 159 2
182 60 3
89 92 1
20 106 2
112 5 3
27 24 1
130 32 2
64 196 3
49 62 2
159 123 2
138 182 3
183 37 1
196 67 3
108 17 3
81 33 1
117 157 2
182 27 3
71 104 3
111 79 3
3 189 3
92 109 3
126 122 2
116 59 3
136 102 1
90 75 2
24 18 3
48 79 2
93 27 2
96 195 3
192 111 2
143 67 2
166 82 3
151 144 2
41 16 3
49 99 3
46 108 2
39 50 3
81 109 3
149 56 1
119 18 2
131 111 3
199 176 3
106 143 3
47 3 3
8 2 3
84 39 2
124 198 3
32 63 1
47 129 2
66 14 3
168 45 3
10 184 2
79 72 3
137 186 2
173 168 2
152 169 3
140 35 1
112 191 2
107 151 3
155 121 1
142 177 2
121 14 3
81 183 3
13 158 2
16 41 3
96 141 2
65 193 2
38 112 3
145 126 2
131 40 3
108 137 3
112 170 3
190 66 2
1 32 3
46 19 1
19 187 2
154 199 3
136 39 1
176 154 3
144 54 3
24 124 1
141 52 3
38 184 3
189 131 1
75 182 3
183 64 3
83 9 3
178 42 2
101 137 3
22 126 2
76 40 2
15 143 3
95 34 1
44 139 2
54 121 3
84 150 3
76 186 2
54 129 3
53 136 1
65 96 2
174 137 3
187 70 3
3 51 2
31 2 3
161 71 1
115 62 3
123 98 3
76 86 2
68 33 3
6 151 3
122 51 1
169 183 2
185 61 3
199 31 1
44 132 2
133 100 3
69 6 2
176 148 2
31 188 3
1 62 1
98 131 2
36 43 3
157 90 3
174 140 3
25 11 3
114 79 2
43 133 2
149 72 3
196 142 3
26 39 2
90 84 3
162 175 2
81 45 2
71 170 3
119 118 1
138 108 2
8 177 3
99 60 1
114 100 2
152 168 3
126 55 1
20 161 2
5 126 3
196 56 3
30 114 2
155 179 3
86 17 2
7 56 3
45 144 3
10 180 1
104 83 2
128 101 3
150 47 1
131 156 2
76 8 3
141 159 1
184 98 2
80 42 3
46 39 1
161 195 3
129 53 3
122 106 1
168 181 2
16 19 3
44 109 1
148 81 2
193 41 3
107 101 3
26 112 2
181 175 3
8 85 1
193 163 3
44 143 3
180 17 2
77 123 2
91 46 3
47 120 3
100 53 2
168 115 3
77 148 1
30 9 3
63 29 3
6 77 3
29 54 2
127 101 3
155 105 2
193 191 2
120 164 3
148 132 2
45 85 2
158 164 3
136 168 2
139 170 2
188 92 3
40 36 1
120 112 2
26 101 3
189 200 1
50 90 2
84 123 3
176 62 3
67 55 2
72 172 3
162 145 1
78 186 3
168 100 3
112 133 1
142 160 3
28 128 3
197 18 2
14 171 3
52 11 3
187 185 1
127 130 2
107 130 3
49 70 2
83 77 3
95 57 3
1 91 1
1 30 2
108 161 3
133 29 1
108 14 2
177 125 3
28 24 2
174 47 2
118 189 3
188 172 1
172 137 2
152 58 3
57 73 2
197 30 2
165 7 3
46 149 1
65 200 2
79 4 3
102 56 2
139 121 3
158 72 3
16 186 1
21 155 2
155 188 3
31 25 1
112 126 3
120 186 3
1 66 1
175 63 2
185 117 3
20 123 1
62 110 2
195 8 3
197 102 1
40 34 2
141 102 3
118 99 3
56 185 2
154 9 3
58 117 2
186 152 3
132 155 3
183 95 1
148 123 2
147 27 3
89 182 1
139 181 2
168 195 3
171 157 3
153 39 2
20 30 3
56 166 2
116 184 2
87 95 3
95 192 3
74 85 2
12 93 3
185 167 2
5 136 3
30 144 3
164 142 1
136 26 2
76 36 3
131 196 1
171 30 2
99 169 3
162 99 3
144 52 2
171 183 3
77 117 1
190 80 2
3 156 3
38 27 2
182 40 3
26 162 3
53 117 1
199 56 2
78 29 3
169 54 1
155 115 2
31 53 3
57 84 2
166 41 3
118 149 3
18 133 2
84 80 3
132 47 3
182 153 1
72 144 2
170 179 3
68 51 3
193 189 2
150 8 3
17 131 1
170 94 2
190 140 3
10 158 3
128 118 3
21 107 3
100 162 3
148 190 2
5 30 3
57 104 1
35 76 2
190 191 3
148 177 1
150 108 2
115 20 3
28 62 3
188 3 3
119 74 3
137 112 1
37 127 2
77 48 3
105 58 2
186 177 3
11 75 3
15 31 2
131 94 3
166 140 3
158 113 3
167 66 2
58 156 3
68 134 1
122 24 2
161 154 3
112 110 1
101 38 2
80 173 3
151 82 1
179 14 3
123 57 3
18 147 1
46 47 3
188 160 3
141 143 3
190 50 2
64 125 3
176 181 1
93 186 2
183 172 3
12 116 1
36 3 2
163 89 3
96 32 1
15 3 3
93 28 3
106 105 3
103 8 2
150 85 3
159 82 1
181 167 3
29 127 3
25 60 1
193 169 2
7 77 3
65 117 2
185 71 2
161 197 3
168 48 1
135 24 3
104 58 3
67 165 3
168 87 3
101 179 3
116 84 2
88 78 2
103 141 3
4 121 2
172 79 2
85 171 3
161 44 3
60 193 3
10 112 3
167 151 1
60 4 2
178 26 3
186 51 1
118 34 2
119 143 3
149 51 3
106 148 3
157 12 3
174 190 2
24 25 3
102 181 3
126 129 1
181 190 3
58 80 3
145 76 1
125 164 2
128 95 3
8 154 3
144 151 2
53 143 3
176 65 3
68 78 2
193 82 3
93 107 3
173 160 3
158 80 3
128 64 1
115 175 3
41 116 3
149 104 1
194 87 2
90 4 3
89 157 3
78 154 2
113 84 3
126 109 1
188 168 2
55 18 3
109 99 3
141 90 2
125 76 3
135 162 1
52 99 2
104 20 3
28 152 1
42 107 2
197 45 3
51 194 1
79 69 2
86 115 3
113 151 1
87 12 2
145 39 3
6 139 3
155 59 2
190 85 3
122 66 1
127 186 2
104 49 3
165 122 3
117 2 2
25 2 3
43 167 3
38 75 2
58 151 3
193 121 2
11 143 3
12 189 3
56 82 1
70 13 3
36 19 3
54 99 1
128 182 2
71 61 3
47 12 1
85 11 2
53 24 3
51 11 2
189 83 3
167 97 3
198 180 3
32 33 2
29 189 3
99 122 1
93 163 2
52 126 3
84 143 1
64 53 3
86 29 3
93 153 3
32 156 2
171 12 3
131 14 1
173 179 3
106 198 3
44 126 1
170 145 2
80 2 3
66 53 1
57 169 2
119 106 3
56 199 2
63 57 2
25 124 3
68 159 1
78 67 3
17 99 3
70 138 1
192 144 3
76 98 3
42 134 2
138 46 3
52 111 3
48 95 2
41 171 2
130 22 3
117 8 1
166 78 3
147 32 3
104 56 1
55 145 2
45 186 3
72 160 3
21 50 2
5 111 3
89 71 3
192 105 3
143 57 3
109 198 3
81 83 3
98 111 3
133 163 1
159 149 3
159 182 3
197 57 2
53 30 2
110 153 3
30 145 2
30 115 2
20 79 3
72 191 3
102 95 2
113 190 3
124 196 1
41 75 3
17 91 3
110 182 2
35 94 2
17 92 3
45 199 2
178 169 2
185 26 3
130 99 2
42 147 2
46 137 3
168 158 1
170 115 2
148 111 3
96 114 3
26 129 2
86 38 3
68 126 3
98 42 3
164 33 3
66 136 1
166 91 2
145 100 3
163 102 2
184 125 3
41 31 3
128 161 3
57 36 3
19 103 3
37 88 2
12 165 3
75 143 3
117 36 2
163 148 2
117 35 3
21 56 1
88 145 2
21 49 3
155 138 3
37 64 2
154 138 3
60 166 3
119 70 2
161 23 3
63 123 3
125 70 2
72 10 3
182 145 3
141 190 2
184 44 3
70 45 3
149 181 3
197 108 3
112 75 3
13 92 2
74 10 3
9 154 3
27 118 2
137 116 3
58 54 3
155 143 3
70 165 3
61 125 2
123 136 2
32 134 3
153 37 1
30 22 2
78 4 3
130 96 2
62 86 2
121 68 3
155 46 1
87 112 2
89 159 3
105 100 1
183 44 2
122 193 3
184 78 3
178 168 3
136 131 3
87 71 2
52 144 2
106 71 3
30 163 1
172 67 3
24 80 3
155 114 1
46 169 3
36 112 3
155 99 2
53 88 3
99 188 3
189 187 1
179 139 2
180 194 3
169 89 3
38 195 3
65 50 3
48 140 2
32 142 2
93 196 3
69 170 3
35 198 3
111 46 3
135 27 1
146 180 2
195 158 3
102 155 3
105 31 3
31 19 3
144 129 1
50 12 3
115 21 3
103 151 1
7 152 2
70 97 3
25 127 1
100 116 3
61 78 3
179 20 1
100 24 2
8 182 3
31 156 3
101 112 2
94 150 3
119 173 1
172 46 3
71 97 3
130 111 1
185 90 2
108 122 3
127 150 2
90 136 2
3 160 3
23 56 2
182 10 2
184 149 3
27 4 2
151 93 2
57 31 3
125 38 3
67 149 3
127 95 3
180 45 1
27 57 2
56 108 3
77 196 1
48 82 2
133 30 3
93 50 1
93 67 3
192 156 3
111 83 1
166 4 2
88 28 3
188 171 1
168 70 2
107 109 3
99 10 1
187 199 2
90 140 3
36 109 1
144 156 3
78 104 3
71 142 2
177 59 2
35 170 3
107 42 2
127 62 2
177 141 3
65 106 2
7 105 3
186 108 3
140 81 2
156 109 2
179 76 3
149 4 2
18 170 3
104 101 3
145 166 3
46 78 2
94 89 3
43 44 3
90 141 2
125 106 3
109 24 1
126 29 3
104 68 3
67 109 1
15 147 3
197 76 3
13 81 2
106 29 2
177 53 3
173 200 1
71 194 2
7 83 3
197 10 2
94 100 2
101 83 3
103 76 2
103 160 2
129 89 3
59 38 2
169 60 2
17 198 3
103 162 2
5 81 2
119 127 3
74 48 2
116 16 2
95 69 3
29 53 1
37 71 2
159 126 3
69 130 3
153 158 2
51 16 3
175 112 1
29 56 2
62 71 3
152 191 3
145 196 2
183 177 3
145 137 1
45 10 2
65 162 3
1 88 1
133 130 3
24 60 3
164 114 2
128 145 2
155 20 3
118 44 1
127 77 2
45 47 3
77 178 3
32 18 2
91 16 3
129 140 1
158 170 2
30 95 3
151 112 1
133 170 2
17 182 3
79 41 1
146 13 2
5 156 3
180 91 1
189 68 2
194 72 3
173 127 1
46 104 2
73 30 3
39 165 3
195 88 2
134 186 3
97 8 1
190 197 2
47 2 3
170 183 2
136 23 2
123 11 3
185 95 3
75 167 2
155 140 3
83 75 1
27 141 3
98 192 3
31 197 1
23 4 2
137 143 3
137 110 1
17 38 2
83 66 3
101 119 1
159 153 3
68 192 3
123 141 3
5 29 3
148 61 3
15 85 3
92 135 2
89 106 3
143 65 3
121 196 2
87 63 3
160 47 3
73 120 2
143 120 3
156 123 1
122 189 3
53 62 3
158 105 3
73 161 2
163 171 3
98 51 3
69 145 2
150 102 3
188 51 3
81 180 2
13 17 3
66 26 1
131 82 2
98 80 3
4 163 1
46 166 3
107 85 3
135 108 2
45 23 3
110 96 3
15 131 2
178 122 2
34 62 3
144 65 1
135 109 3
72 53 3
101 46 1
161 113 2
132 40 3
85 4 1
29 167 2
168 191 3
74 73 2
146 137 3
92 21 3
69 177 1
52 83 2
51 88 3
175 176 3
24 142 2
71 34 3
105 193 3
120 90 2
195 85 3
4 21 3
41 100 3
116 55 3
125 39 3
8 113 2
88 109 3
140 45 3
3 191 2
81 37 3
48 15 2
173 12 2
150 21 3
15 134 1
110 102 2
166 200 3
180 87 2
115 158 2
160 189 3
151 11 1
193 93 2
90 157 3
114 127 2
165 18 3
147 175 3
105 33 2
197 40 2
161 16 3
8 170 1
38 30 3
148 126 3
167 26 2
124 152 2
44 16 3
99 103 1
93 121 3
172 146 3
177 89 2
133 103 2
61 66 3
68 189 2
85 93 2
195 41 3
105 152 1
155 24 2
38 116 3
49 93 1
166 59 2
171 16 3
102 44 1
20 131 2
90 51 3
48 90 1
155 77 3
19 92 3
